id,title,overview,genres,release_date,vote_average,vote_count,popularity,poster_path,directors,cast,keywords
1304313,리 크로닌의 미이라,"한 기자의 어린 딸이 흔적도 없이 사막으로 사라진다. 그리고 8년 후, 산산이 부서진 가족은 그녀가 다시 돌아왔다는 소식에 충격을 받는다. 하지만 기쁨으로 가득해야 할 재회는 곧 살아 있는 악몽으로 변해간다.","['공포', '미스터리']",2026-04-15,8.07,1488,583.1981,/zXlwtzXP80yc3X0VokdxvmsFQfw.jpg,['리 크로닌'],"['잭 레이너', '라이아 코스타', '메이 칼라마위', '나탈리 그레이스', '실로 몰리나']","['journalist', 'egypt', 'monster', 'ritual', 'kidnapping', 'pyramid', 'investigation', 'supernatural', 'mummy', 'possession', 'disappearance', 'curse', 'demon', 'tomb', 'missing person', 'supernatural horror', 'body horror']"
1339713,옵세션,"음반점 직원 베어(마이클 존스턴)는 어린 시절부터 짝사랑해 온 동료이자 소꿉친구 니키(인디 네버레티)에게 마음을 고백하지 못하고 있다. 용기를 내지 못한 베어는 우연히 발견한 신비로운 장난감 '원 위시 윌로(One Wish Willow)'를 통해 니키가 자신을 세상에서 가장 사랑하게 해달라고 소원을 빈다. 소원은 즉시 이루어지고, 니키는 베어에게 모든 것을 건 사랑을 쏟아붓는다. 하지만 이 사랑은 점점 집착으로 변질되고, 니키의 행동은 기이하고 공포스러운 방향으로 치닫는다. 때로는 본래의 니키가 잠시 깨어나 공포에 질려 비명을 지르기도 한다. 베어는 자신이 원했던 것이 정말 니키인지, 그리고 그 구분이 얼마나 중요한지라는 끔찍한 질문에 직면하게 된다. 소원의 대가가 그들 모두를 위협하는 가운데, 베어는 자신의 욕망이 초래한 비극적 결과와 마주해야 한다.",['공포'],2026-05-13,7.994,426,501.5672,/6X4qFYBsG3bpWDG2XIKqr04kFJa.jpg,['Curry Barker'],"['마이클 존스턴', '인디 네버레티', 'Cooper Tomlinson', 'Megan Lawless', 'Andy Richter']","['obsession', 'supernatural', 'possession', 'wish', 'evil spirit', 'unrequited love', 'demon', 'biting', 'couple', 'psychotic', 'demonic possession', 'folk horror', 'self-harm', 'supernatural horror', 'independent film', 'psychological horror', 'cursed object']"
1380291,톰 클랜시의 잭 라이언: 고스트 워,"잭 라이언은 국제 비밀 작전으로 치명적인 음모의 실체가 드러나면서 마지못해 다시 첩보의 세계로 끌려 들어간다. 시간과의 싸움 속에서 그는 CIA 동료 마이크 노벰버, 제임스 그리어, 그리고 냉철한 MI6 요원 에마 말로와 함께 통제권을 벗어난 블랙옵스 부대에 맞서며, 지금껏 가장 뼈아프고 혹독한 작전을 펼쳐나간다.","['액션', '스릴러']",2026-05-20,7.151,431,322.2837,/3PufRWSVgSVwIr9M5YOmx4gu5Fu.jpg,['Andrew Bernstein'],"['존 크래신스키', '웬들 피어스', '시에나 밀러', '마이클 켈리', '맥스 비슬리']","['based on tv series', 'suspense', 'absurd']"
1433117,கர,,"['범죄', '드라마', '스릴러']",2026-04-30,6.5,8,372.7944,/uIrFdMWlJFdc1jPBP9bxeaISCDj.jpg,['Vignesh Raja'],"['Dhanush', 'Mamitha Baiju', 'K. S. Ravikumar', 'Suraj Venjaramoodu', 'Karunas']","['gulf war', 'robin hood', 'thief', 'bank heist', 'cotton farmer', 'farmers exploitation', 'money heist', 'helping people', 'farmers']"
1439930,퍼니셔 원 라스트 킬,복수 이상의 의미를 찾아 헤매던 프랭크 캐슬은 뜻밖의 싸움을 다시 시작하게 된다.,"['액션', '드라마', '범죄']",2026-05-12,8.375,1383,290.8763,/dfKKipbQswChklXaaVTh6FP3oaJ.jpg,['Reinaldo Marcus Green'],"['존 번설', '데보라 앤 월', '제이슨 R. 무어', '주디스 라이트', '켈리 바렛']","['post-traumatic stress disorder (ptsd)', 'anti hero', 'based on comic', 'revenge', 'one man army', 'death of family', 'marvel cinematic universe (mcu)', 'hunted', 'hard', 'vigilante justice', 'conspiracy thriller']"
687163,프로젝트 헤일메리,눈을 떠보니 아득한 우주의 한가운데에서 깨어난 중학교 과학교사 그레이스는 희미한 기억 속에서 자신이 죽어가는 태양으로부터 지구와 인류를 살릴 마지막 희망으로 이곳에 왔다는 사실을 알게 된다. 잃어버린 기억으로 인해 모든 것이 혼란스러운 상황에서 그레이스는 우연히 우주 한복판에서 같은 목적으로 온 뜻밖의 존재 로키를 만나게 되고 그레이스와 로키는 각 두 행성의 운명을 건 마지막 미션을 수행하러 떠나게 되는데…,"['SF', '모험']",2026-03-15,8.645,4476,302.0827,/qqGpVVZk2KD1lAvccgTU4Z6nh1H.jpg,"['필 로드', '크리스토퍼 밀러']","['라이언 고슬링', '산드라 휠러', '제임스 오티즈', '라이오넬 보이스', '밀라나 바인트루브']","['friendship', 'coma', 'based on novel or book', 'bravery', 'sun', 'language barrier', 'space travel', 'space mission', 'alien', 'space', 'memory loss', 'suicide mission', 'astronaut', 'scientist', 'science teacher', 'save the planet', 'wonder', 'spaceship', 'interspecies friendship']"
1083381,백룸,존재해서는 안 될 미지의 공간 ‘백룸’ 속으로 사라진 사람들의 극한 상황을 그린 공간 스릴러,"['공포', '미스터리', 'SF']",2026-05-27,6.782,202,273.5711,/c3Cb7h4ecFsGfUM02KF638kbbtC.jpg,['케인 파슨스'],"['치웨텔 에지오포', '레나테 레인스베', '마크 듀플래스', '핀 베넷', '루키타 맥스웰']","['california', 'monster', 'therapist', 'surrealism', 'childhood trauma', 'alcoholism', 'found footage', '1990s', 'other dimension', 'based on web series', 'psychological', 'liminal', 'body horror', 'psychological horror', 'liminal space', 'analog horror', 'sci-fi horror', 'bewildered', 'foreboding', 'liminal horror']"
1226863,슈퍼 마리오 갤럭시,"브루클린의 배관공에서 세계를 구한 히어로로 레벨업한 형제 ‘마리오’와 ‘루이지’는 모래 왕국에서 임무를 수행하던 중, 길을 잃은 ‘요시’를 구출하며 특별한 우정을 쌓게 된다. 한편, 무너진 ‘쿠파’ 가문의 명예를 되찾기 위해 악의 왕자 ‘쿠파주니어’는 은하계의 수호자이자 치코들의 엄마 ‘로젤리나’를 납치하고, 버섯 왕국에 잡힌 아빠 ‘쿠파’를 되찾기 위해 왕국을 습격한다. 다시 찾아온 위기 속에서 마리오와 루이지, 피치, 키노피오 그리고 새로 합류한 요시까지 로젤리나도 구하고, 쿠파주니어의 비범한 계획을 막기 위해 넓은 갤럭시로 뛰어들게 되는데…","['가족', '코미디', '모험', '판타지', '애니메이션']",2026-04-01,8.105,2221,259.9549,/knaXOBDBecVBWZVup3zXaOoy23v.jpg,"['마이클 제레닉', '아론 호바스']","['크리스 프랫', '안야 테일러조이', '찰리 데이', '잭 블랙', '도널드 글로버']","['friendship', 'sibling relationship', 'space travel', 'sequel', 'based on video game', 'buddy comedy', 'aftercreditsstinger', 'duringcreditsstinger', 'space adventure', 'father son relationship', 'parallel universe', 'brother brother relationship', 'talking animal', 'magic land']"
1582770,두란다르: 더 리벤지,카라치의 암흑가를 상대로 한 함자의 싸움이 계속된다. 인도 역대 최고 흥행을 기록한 힌디어 영화 《Dhurandhar》의 속편,"['액션', '범죄', '스릴러']",2026-03-18,7.257,103,249.8052,/hsJG5r6etrMNwW00BVp4NC7zi67.jpg,['Aditya Dhar'],"['란비르 싱', 'Arjun Rampal', 'R. Madhavan', '산자이 더트', 'Sara Arjun']","['undercover', 'espionage', 'politics', 'spy', 'traitor', 'patriotism', 'nationalism', 'gore', 'gang leader', 'pakistan', 'sequel', 'betrayal', 'conspiracy', 'torture', 'soldier', 'india', 'interrogation', 'terrorist attack', 'undercover operation', 'gun violence', 'bloodshed', 'political corruption']"
1007757,뒤바뀐 친구들의 신비한 모험,갑자기 몸이 뒤바뀌게 된 작은 숲속 생물과 위풍당당한 새. 일생일대의 모험을 헤쳐나가기 위해 어쩔 수 없이 힘을 합친다.,"['모험', '애니메이션', '가족', '판타지']",2026-05-01,8.976,1515,265.3704,/uv0iRQXDbtWHo1zPk3TZNo4Biti.jpg,['네이든 그레노'],"['마이클 B. 조던', '주노 템플', '트레이시 모건', '세드릭 더 엔터테이너', '저스티나 마샤도']","['wolf', 'buddy', 'forest fire', 'woodlands', 'forest lore', 'bird', '3d animation', 'empathetic', 'vibrant', 'body swap', 'animal adventure']"
